,Product Name,Product Description,Discounted Price,Original Price,Discount Percentage,Customer Rated Rating,Customer Review Test,Reviewers Name,Review_posted_dates
12,Roadster,Men White Mustard Yellow Colourblocked Round Neck Pure Cotton T-shirt,₹349,₹999,(Rs. 650 OFF),"[5, 5, 2]","['I order (M size), One of the best T-shirts I have had, The quality is good, after wearing this I look so handsome, I am sure if you buy the correct size you will also look handsome good looking like me😄 I want to become a MODEL of ROADSTER brand...', 'Such a beautiful product I HV ever bought ,.,.thanxxxx Myntra', ""Before wearing, after first wash body of the t-shirt got twisted - the side stitch of tshirt which starts from armpit to bottom got diagonally twisted which is uneven stitching & there was a hole in the bottom stitch which is also manufacturing defect and didn't happened in transit. Fabric is good, color is also fast, size is bit on smaller side which I hv noticed on Roadster tshirts Mast & Harbour are little bigger.""]","['Mohammed Rafiq', 'Shrish Sahay', 'Shantilal Kathotia']","['9 Oct 2023', '11 May 2023', '23 Nov 2023']"
13,Roadster,Men Self Design Polo Collar T-shirt,₹529,₹1499,(Rs. 970 OFF),[5],['nice'],['6681'],['9 Jan 2024']
14,Puma,Ess Polo T-shirt,₹679,₹1699,(60% OFF),"[4, 5]","[""Colour doesn't suit me that's why 3 star. Well I am not good looking, so who cares. 4 stars it is. Doubt about the material. Little thin."", 'The only concern was about the fit. I felt it was a little loose for me. But the quality of the product is good. As always puma never disappoints.']","['Nithin Mity', 'Abhijeet Kumar']","['6 Aug 2023', '5 Oct 2023']"
15,HRX by Hrithik Roshan,Men Solid High Neck T-shirt,₹539,₹1199,(55% OFF),"[4, 2, 4]","[""Good one but if customer tells about negetive things Myntra doesn't approve review 🤣🤣🤣🤣"", 'quite thin for winters. although i understand that gym wear has to be breathable, but there are other brands who have a thin wool layer inside. otherwise if i had to buy this for summers, i can easily go for regular half sleeve or without sleeve tshirts with no high necks. i would rate this as average.', 'Perfect fit. Comfortable and good quality fabric. Good product and highly satisfied. Thank you HRX and Myntra.']","['Nizam', 'Anubhav', 'Pritam Kumar Baruah']","['30 Dec 2023', '3 Jan 2024', '26 Dec 2023']"
16,GLITO,Men Colourblocked Hooded Cotton T-shirt,₹519,₹1299,(60% OFF),[1],['Waste..dn buy'],['Wasi'],['9 Dec 2023']
17,Roadster,Men Striped Polo Collar T-shirt,₹339,₹1499,(Rs. 1160 OFF),"[5, 4]","['VERY NICE PRODUCT GOOD FITTING AND GOOD QUALITY AND SIZE PERFECT THANKS MYNTRA', 'Perfect']","['Muneer Ahmad', 'Dakshata Raut']","['20 Jan 2024', '31 Dec 2023']"
18,Roadster,Men Green White Printed Round Neck Pure Cotton T-shirt,₹314,₹899,(65% OFF),"[4, 5, 5]","[""It's a good one for lounge wear. Fabric is soft n comfortable. But if your body even have a little side fat n tummy fat then avoid to purchase. The fitting is slim fit not regular or straight fit. And yes it is a good option for lean n slim body structure."", 'Amazing ? fit n hit', 'T Shirt is good quality and fabulous looking for night time . trending t shirt for That is M is good for fitting .any good cloth Same as']","['Shivani Dhiman', 'Mahi', 'Manu']","['27 July 2023', '20 Apr 2023', '29 Sept 2020']"
19,Jockey,Men White Super Combed Cotton T-shirt,Rs. 579,,,,,,
20,Roadster,Men Maroon Solid Polo Collar T-shirt,₹429,₹999,(57% OFF),"[5, 5, 5]","[""Very comfortable and fit in initial days but after washing 3 or 4 times it's length got little bit increased But overall it's worth to buy this"", ""All t-shirts that I've bought from Roadster* were amazing n awesome.. this one fits well as expected... Loved it ❤️"", 'Good quality t-shirt must buy i choose L size but it was to large then I exchanged it on Saturday and they give me m size on Monday at 3 pm very fast service by Myntra, T-shirt is 2 inch long an usual, but fit and finish is very good.']","['Vikas Verma', 'Gaurav', 'Mandeep Kumar']","['2 May 2022', '18 Mar 2022', '21 June 2022']"
21,Roadster,The Lifestyle Co Men Maroon Graphic Printed Round Neck Pure Cotton T-shirt,₹287,₹899,(68% OFF),"[4, 5, 5]","['Not red colour.....if that is red means superb t-shirt,size is good(little bit thin compare to previous roadster t-shirts)', 'Excellent', 'Very good design and quality .My husband love it.']","['Madhu', 'Prasad Choudhary', 'Dhanjita Baishya']","['18 Oct 2022', '13 July 2023', '13 Mar 2021']"
