,Product Name,Product Description,Discounted Price,Original Price,Discount Percentage,Customer Rated Rating,Customer Review Test,Reviewers Name,Review_posted_dates
542,Turtle,Polo Collar Cotton Slim Fit T-shirt,₹779,₹1299,(40% OFF),[],[],[],[]
543,Bonkers Corner,Drop Shoulder Sleeves Cotton Loose Fit T-shirt,₹687,₹849,(19% OFF),"[4, 5, 3]","['The colour is good, I was hoping it to be a little dull compared to the pic which it is so yeah. Next, quality of the fabric, I think It could have been a little better. The thread work above looks okayish..', 'Very Good Material ??, Thank you', 'Fabric, texture , colour and feel is so good . Style is perfect .']","['Myntra Customer', 'Luhana Bhavin', 'Sat Sun']","['11 Aug 2023', '28 July 2023', '26 Nov 2023']"
544,Kryptic,Men White & Grey Printed Polo Collar Pure Cotton T-shirt,₹509,₹1499,(66% OFF),"[4, 5, 3]","[""Overall tshirt is okay but it's loose"", 'One of the best quality T Shirts ...great value for money and lovely designs', ""Quality isn't as good as it is shown in the picture.""]","['Brijesh Shah', 'Sivaraman P V', 'Praveen']","['17 Nov 2023', '17 Aug 2023', '1 Dec 2023']"
545,FCUK,Brand Logo Printed Pure Cotton Applique T-shirt,₹559,₹1599,(65% OFF),[],[],[],[]
546,Bareblow,Horizontal Striped Half Sleeves T-shirt,Rs. 599,,,,,,
547,ether,Men Navy Blue Solid Polo Collar Indigo Antimicrobial Slim Fit T-shirt,₹494,₹1099,(55% OFF),"[5, 5, 4]","['These Ether t-shirts are awesome. I have got five of them and they are my every day wearables.', 'The fabric was not as I thought would be but still it was a good buy for me. Hope my dad likes it.', '4 stars for looks and fit. Quality could have been better!']","['Rajarshi Chatterjee', 'Myntra Customer', 'Boby Borgohain']","['11 May 2023', '31 May 2023', '5 Aug 2023']"
548,Roadster,Men Black Brown Colourblocked Polo Collar Pure Cotton T-shirt,₹454,₹1299,(65% OFF),"[4, 4, 5]","['Fabric is very nice, cotton but stiff, so it will retain shape. Thick and feels premium. I think one should go blindly for this if he likes the design. One more thing- it was a little too long for me (I\'m 5\'7"")', 'The product is good just some size issues which got fixed', 'As expected everything was perfect the quality the material m lucky that I got this in £320 wish we get more to see designs and tshirt like this in future Well done Roadster ❤️']","['Mayank Goyal', 'Satyansh Shrivas', 'Luxuriant Pictures']","['10 Mar 2021', '12 Nov 2021', '26 July 2022']"
549,Sztori,Plus Size Colourblocked Pure Cotton Polo Collar T-shirt,₹683,₹1799,(62% OFF),[],[],[],[]
550,The Dry State,Round Neck Long Sleeves Cotton T-shirt,₹506,₹1299,(61% OFF),"[4, 4, 5]","['Wonderfull Material and feels great! Fitting is also good', 'Quality is good but some loose', 'Outstanding Outstanding...❤️❤️❤️... Fully family...']","['Ishaan', 'Jagadesh 007', 'Riju De']","['7 Dec 2023', '2 Dec 2023', '2 Dec 2023']"
551,Turtle,Polo Collar Cotton Slim Fit T-shirt,₹779,₹1299,(40% OFF),[],[],[],[]
552,Bonkers Corner,Drop Shoulder Sleeves Cotton Loose Fit T-shirt,₹687,₹849,(19% OFF),"[4, 5, 3]","['The colour is good, I was hoping it to be a little dull compared to the pic which it is so yeah. Next, quality of the fabric, I think It could have been a little better. The thread work above looks okayish..', 'Very Good Material ??, Thank you', 'Fabric, texture , colour and feel is so good . Style is perfect .']","['Myntra Customer', 'Luhana Bhavin', 'Sat Sun']","['11 Aug 2023', '28 July 2023', '26 Nov 2023']"
553,Kryptic,Men White & Grey Printed Polo Collar Pure Cotton T-shirt,₹509,₹1499,(66% OFF),"[4, 5, 3]","[""Overall tshirt is okay but it's loose"", 'One of the best quality T Shirts ...great value for money and lovely designs', ""Quality isn't as good as it is shown in the picture.""]","['Brijesh Shah', 'Sivaraman P V', 'Praveen']","['17 Nov 2023', '17 Aug 2023', '1 Dec 2023']"
554,FCUK,Brand Logo Printed Pure Cotton Applique T-shirt,₹559,₹1599,(65% OFF),[],[],[],[]
555,Bareblow,Horizontal Striped Half Sleeves T-shirt,Rs. 599,,,,,,
556,ether,Men Navy Blue Solid Polo Collar Indigo Antimicrobial Slim Fit T-shirt,₹494,₹1099,(55% OFF),"[5, 5, 4]","['These Ether t-shirts are awesome. I have got five of them and they are my every day wearables.', 'The fabric was not as I thought would be but still it was a good buy for me. Hope my dad likes it.', '4 stars for looks and fit. Quality could have been better!']","['Rajarshi Chatterjee', 'Myntra Customer', 'Boby Borgohain']","['11 May 2023', '31 May 2023', '5 Aug 2023']"
557,Roadster,Men Black Brown Colourblocked Polo Collar Pure Cotton T-shirt,₹454,₹1299,(65% OFF),"[4, 4, 5]","['Fabric is very nice, cotton but stiff, so it will retain shape. Thick and feels premium. I think one should go blindly for this if he likes the design. One more thing- it was a little too long for me (I\'m 5\'7"")', 'The product is good just some size issues which got fixed', 'As expected everything was perfect the quality the material m lucky that I got this in £320 wish we get more to see designs and tshirt like this in future Well done Roadster ❤️']","['Mayank Goyal', 'Satyansh Shrivas', 'Luxuriant Pictures']","['10 Mar 2021', '12 Nov 2021', '26 July 2022']"
558,Sztori,Plus Size Colourblocked Pure Cotton Polo Collar T-shirt,₹683,₹1799,(62% OFF),[],[],[],[]
559,HERE&NOW,Striped Polo Collar Pockets T-shirt,₹389,₹1499,(Rs. 1110 OFF),"[4, 3]","['Nice perfect', 'Average']","['Sanjay Sinh', 'Amit Babariya']","['7 Sept 2023', '8 Nov 2023']"
560,H&M,Men Regular Fit Round-Neck T-Shirt,Rs. 399,,,,,,
561,Roadster,The Lifestyle Co Men Blue Waffle Texture T-shirt,₹406,₹1099,(63% OFF),"[4, 4, 5]","['I like it', 'Looks cool. Fitting not as expected. A little tight.', 'One word- Great. The colour, the material the style is pure magnificence!']","['Rakesh Majhi', 'Arpit Kuche', 'Subhajit Mandal']","['16 May 2023', '19 Apr 2022', '29 June 2022']"
562,Crazymonk,One Piece Luffy Anime Printed Cotton Oversized T-shirt,₹659,₹1499,(56% OFF),"[5, 4, 5]","['So i bought this to gift my boyfriend for Christmas and i have to say we both are super pleased and happy with the shirt and the best thing was how happy he got as soon as he saw it. Thank you <3', 'Perfect 😃', 'Exactly same as shown in the image']","['Linumide Edits', 'Nwaab Gaming Fun', 'Aviral Sirotiya']","['6 Dec 2023', '12 Dec 2023', '13 Oct 2023']"
563,Roadster,Men Solid Regular Fit T-shirt,₹489,₹999,(Rs. 510 OFF),"[5, 5, 5]","['Just looking like a wow', 'Excellent product and great quality perfect design thank u myntra for amazing product', '']","['Srinivas', 'Anil Kandukuri', 'Khatri Billa']","['8 Jan 2024', '24 Dec 2023', '2 Nov 2023']"
564,HRX by Hrithik Roshan,Printed Antimicrobial Badminton T-shirt,₹1104,₹1299,(15% OFF),[],[],[],[]
565,Van Heusen,Athleisure Men Solid Antibacterial Smart Tech T-Shirt,Rs. 799,,,,,,
566,Moda Rapido,Men Green & Lavender Striped Pure Cotton Round Neck T-shirt,₹399,₹999,(60% OFF),"[4, 4, 4]","['Tshirt looks amazing. Yet it fades out after a few washes. Otherwise it looks amazing', 'Nice quality thankx myntra', 'Nice material and perfect fit.']","['Niitiiish Jain', 'Zafar Aabid', 'Shyam Ezhava']","['17 Dec 2023', '23 Oct 2022', '4 Jan 2023']"
567,Bewakoof,Earthlings Printed Drop-Shoulder Sleeves Cotton Oversize T-shirt,₹749,₹1649,(Rs. 900 OFF),[],[],[],[]
568,HRX by Hrithik Roshan,Men Printed Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt,₹454,₹1299,(65% OFF),"[1, 5]","['Too bad quality', 'Superb!']","['Aditya Mohapatra', 'Sarang']","['2 Jan 2024', '6 Jan 2024']"
569,Roadster,The Life Co. Pure Cotton Solid Drop-Shoulder Sleeves Casual T-shirt,₹341,₹899,(62% OFF),[],[],[],[]
570,HRX by Hrithik Roshan,Printed Lifestyle T-shirt,₹594,₹699,(15% OFF),[],[],[],[]
571,Roadster,The Life Co. Pure Cotton T-shirt,₹323,₹899,(64% OFF),[],[],[],[]
572,Red Tape,Space Grey Graphic Print Pure Cotton T-Shirt,₹356,₹1699,(79% OFF),"[4, 3, 2]","['Good Design. Length could have been more.', 'Average product.', 'Actually product quality is no good it’s look like old cloth']","['Ankur', 'Mahadev Tada', 'Dk']","['23 Dec 2023', '15 Dec 2023', '12 Dec 2023']"
573,Roadster,The Life Co. Drop-Shoulder Sleeves Pure Cotton Applique Oversized T-shirt,₹319,₹799,(60% OFF),[1],['QUALITY IS POOR'],['Manjula T'],['23 Jan 2024']
574,HRX by Hrithik Roshan,Men Printed T-shirt,₹524,₹699,(25% OFF),[],[],[],[]
575,Roadster,Men Black Solid Polo Collar Pure Cotton T-shirt with Embroidery,₹532,₹1299,(59% OFF),"[5, 5, 5]","['I bought this t- shirt for my friend and size is absolutely fine according to the mention product size. Product quality is great...thanks', 'Very good best out fit for me ?? thnx myntra', 'T-shirt Taken for my husbands the size and fit was perfect and delivery was before time , thank you for better service and keep the best work on ... Thank you myntra ...']","['Mandeep Rai', 'Amol Randive', 'Laxmi Velkar']","['17 Mar 2022', '20 Apr 2023', '10 July 2023']"
576,H&M,Men Grey Solid Round-neck T-shirt Regular Fit,Rs. 399,,,,,,
577,FREE SOCIETY,Polo Collar Long Sleeves Pure Cotton Oversized T-shirt,₹575,₹1799,(68% OFF),[3],['A little bit big 😕'],['Myntra Customer'],['22 Oct 2023']
578,Roadster,The Lifestyle Co. Pure Cotton Brand Logo Printed Pure Cotton T-shirt,₹349,₹799,(Rs. 450 OFF),[],[],[],[]
579,The Souled Store,Round Neck Pure Cotton Oversized T-Shirt,₹739,₹999,(26% OFF),"[5, 5, 5]","['good product and quality of cloth is too good.', 'Thick material, great fall. Sleeve length is good.', ""The best and fabulous T-shirt I have ever bought in my entire life. Material and the design is mind-blowing. I'm ordering more of the same but different colours. I strongly recommend the lovers of Tees.""]","['Manish Pandey', 'Daizy', 'Stephen Chubah']","['23 May 2023', '20 Oct 2023', '7 Apr 2023']"
580,Mast & Harbour,Mast Harbour Men Blue White Striped Round Neck Pure Cotton T-shirt,₹349,₹1049,(Rs. 700 OFF),"[5, 5, 5]","['Comfy full T shirt?', 'Quality awesome this was my first purchase and it was awesome I ordered l and it was totally fit. ?. I hope this t-shirt would not shrink. And everything is so good and delivery was so fast thank you myntra', ""I bought this product on 367 rupees and sometimes the price is showing over 600. Don't buy this on that price because the quality of the cloth and stitching is not that much good and its good at the price range 367""]","['Sheba', 'Syedzaidahmed', 'Martin Rajan']","['11 Nov 2021', '1 Nov 2021', '17 Nov 2021']"
581,Bewakoof,Animated Printed Pure Cotton Oversized Drop-Shoulder Sleeves T-shirt,₹599,₹1299,(Rs. 700 OFF),"[5, 5, 5]","['Amazing shirt nice quality i can sayy.Print is so sick', 'Awesome product ❤️❤️❤️', 'Go for it guys.']","['Tejaswi', 'Rimon Sk', 'Nitesh Joshi']","['17 Jan 2024', '14 Jan 2024', '14 Nov 2023']"
582,Roadster,The Life Co. Pure Cotton Long Sleeves Casual T-shirt,₹341,₹899,(62% OFF),[],[],[],[]
583,HRX by Hrithik Roshan,Brand Logo Print Lifestyle T-shirt,₹479,₹599,(20% OFF),"[5, 4]","['Fitting 100% Quality 100% Fabric 100% Everything is perfect, go through it. Perfect for daily usage', 'Size s is perfect']","['Mr Vamsi', 'Radhakrishnan']","['18 Jan 2024', '7 Jan 2024']"
584,HRX by Hrithik Roshan,HRX By Hrithik Roshan Training Men Teal Blue Rapid-Dry Antimicrobial Brand Carrier T-shirt,₹349,₹699,(50% OFF),"[4, 5, 5]","['Quality was good but hands little bit lose', 'Color mst hain material quality is good', 'Very good quality and Fit for gym and sports purpose ?']","['Chandu', 'Komal', 'Md Kashif Iqbal']","['21 Feb 2023', '10 Aug 2022', '29 Aug 2022']"
585,DILLINGER,Men Solid Oversized T-shirt,₹495,₹799,(38% OFF),"[5, 5, 3]","['I purchased this item in brown and blue for my brother, my first buy from this brand. Initially skeptical, but it arrived in perfect condition with good packaging and quality. It offers a slightly baggy look, yet it complements the current fashion trends, and after wearing and washing, there was no color fading.', 'Very pleasing quality and design. The t-shirt is made from a lightweight and breathable fabric that is comfortable to wear and looks great. The design is very stylish and the color is vibrant and eye-catching. The fit of the t-shirt is true to size and it sits well on the shoulders. I am very pleased with my purchase and would highly recommend this t-shirt to anyone looking for a stylish and well-made t-shirt.', 'good quality, go for a smaller size than the usual size you wear']","['Riri', 'Prasang Bhatnagar', 'Basit']","['22 Sept 2023', '1 Jan 2023', '21 July 2023']"
586,Harvard,Men Navy Blue Solid Polo Collar Pure Cotton T-shirt,₹389,₹999,(61% OFF),"[5, 5, 4]","['Very very nice and soft product.Because of camera colour is showing different colour but actually it is same as the picture ..thank you myntra?❤', 'As Expected...Nice Product??', 'The product came as accepted. ? Love to order from this app (Myntra)']","['Piyasha', 'Prerit Katiyar', 'Tovi']","['25 Aug 2021', '25 Mar 2021', '20 Jan 2021']"
587,VEIRDO,Men White Camouflage Printed Oversized Cotton T-shirt,₹395,₹1199,(67% OFF),"[4, 5, 4]","[""Guy's This Tshirt looks so amazing Fit 5/5 Colour 4/5 Comfort 5/5 Overall a amazing oversized tshirt and one more thing I show some YouTubes give bad reviews about this Tshirt and I don't know why but if u like this colour go ahead bcoz it's are choice ?"", 'Geniune as expected', '']","['Manish Kumar', 'Deepak Verma', 'Ranjeet']","['30 July 2022', '27 July 2023', '13 Aug 2023']"
588,Difference of Opinion,Men Graphic Printed Oversized T-shirt,₹495,₹799,(38% OFF),"[5, 5, 3]","['Earlier when k n k started their brand in India they sold the same kinda material which attracted the crowd, but they lost all the crowd when they degraded the quality of the material. I really hope that you are consistent with the quality of the product. I will be your customer if you do so', 'Bought this for my boyfriend. The fabric has been amazing for all the purchases I have made with this brand. Just the best brand with affordable price. Loved this tshirt and print of it. ?❤️', ""Color of the t shirt is not dark black as shown in the picture .. otherwise material quality is good, fit is comfortable.. durability of the product can be judged after 2 or 3 washes as it's my first purchase from this brand..""]","['Rishi', 'Shirisha Rushi', 'Shehwaz Ahmed']","['12 Apr 2023', '22 Aug 2023', '10 June 2023']"
589,Bareblow,Round Neck Cotton Half Sleeve T-Shirt,Rs. 599,,,,,,
590,Harvard,Men Blue Solid Polo Collar T-shirt,₹399,₹999,(60% OFF),"[5, 4, 4]","['Very impressed with harvard I tried mast and harbour also but harvard is much better', 'Amazing product as I expected the colour is same as shown in the picture and the material is also very comfortable, without 2nd thoughts you guys can purchase it in very genuine price.', 'Same as like a picture. Quality is very good. Perfect fit. I gifted to my hubby. N he liked it very much.']","['Shoaib', 'Md Raghib Alam', 'Manisha']","['11 Oct 2021', '8 June 2022', '13 Oct 2021']"
591,WROGN,Men Navy Printed Pure Cotton T-shirt,₹579,₹999,(42% OFF),"[3, 4, 4]","[""First, I like the Dark Blue colour that's why i ordered this t-shirt. It's totally fit for me. While i'm wearing this t-shirt it's good on me. Only one thing which i didn't like about this t-shirt. When my mother is washing this t-shirt then blue colour is coming out from the t-shirt which i didn't expect."", ""It wasn't quite the product that I had craved for,feel a bit let down, especially from such a brand as big as wrogn"", 'Material could have been better and the print on it will be gone adter one or two wash expected better quality being this big brand']","['Shivam Rana', 'Devendra Moktan', 'Aastha Somani']","['11 Sept 2023', '16 June 2020', '29 Dec 2020']"
592,Roadster,Men Red Solid Mandarin Collar T-shirt,₹363,₹1299,(72% OFF),"[3, 5, 3]","['The Product is as shown in the photo. Some would say even better. It was the first time for me buying a Mandarin collar polo shirt and i can say its not my style i like with the standard collar. Although, it is a little bit short but fits good and affordable.', 'Nice ..better than other roadster cotton tshirt ..the round nech tahirt if raodster are very bad quality but this is ok. But bit expensive..', ""Colour is not shiney as shown in pic. Not looks like a new one. It's faded red. Quality of cloth is good and comfortable to wear. Size and length as expected.""]","['Harkirat Singh', 'Shuja Uddin Ahmad', 'Biswajit Barman']","['5 Mar 2021', '8 Sept 2020', '2 Sept 2020']"
593,Kook N Keech,Tie and Dye Drop-Shoulder Sleeves Loose Pure Cotton T-shirt,₹499,₹999,(50% OFF),"[5, 4, 4]","[""Everything Is good.. i ordered extra size that i didn't want though ?? Suggestion - Don't order extra size than your body it's perfect everywhere. Extra - Buy it When summer arrives in your country. Don't buy in winter then it's useless !! Quality - Top Class ?? Not Comparable with Gucci ( Even close) About Comfort - In summer it's like heaven ✋? seriously very comfortable ?. Thank you for reading, And advance sorry for the poor English suggestion."", 'Perfect for outdoor. Loved the product quality and appearance.', 'Quality of this tshirt is very nice and according to me length of this tshirt is quite loose overall best quality tshirt for this price ?']","['Raj Sarkar', 'Su Riya', 'Mayank']","['2 June 2023', '8 Oct 2023', '23 June 2023']"
594,HRX by Hrithik Roshan,Rapid Dry Sports T-shirt,₹584,₹899,(35% OFF),[],[],[],[]
595,Hypernation,Men Black Solid Turtle Neck T-shirt,₹699,₹985,(29% OFF),"[5, 4, 5]","['The quality of the cloth is awesome and design is as shown in the picture. But if you are 6 feet or above then it will be quite small for you however complete t shirt is stretchable. So if your size is L then go for XL otherwise it will be super slim for you.', 'Bit loose from the shoulders but the stuff is soft. I think its not worth the price that has been mentioned', 'Wonderful product!! Really happy to see my husband wearing it with the perfect fit. I gifted him and he also loved it alot']","['Abhishek Kumar', 'Ananya', 'Payal Grover']","['22 July 2020', '23 Feb 2021', '7 Feb 2020']"
596,Lux Cozi,Pack of 2 Polo Collar T-shirt,₹722,₹760,(5% OFF),[],[],[],[]
597,Snitch,Graphic Printed Round Neck Drop-Shoulder Sleeves Oversized T-shirt,₹999,₹1998,(50% OFF),[],[],[],[]
598,HRX by Hrithik Roshan,Men High Neck T-shirt,₹539,₹1199,(55% OFF),"[5, 5, 5]","['this product quality is osm fabric colour perfect ✨Go for it ...', 'Good fitting, shimmring reflectors and back patch of perforated rubber or plastic for air exchange. Overall good product to buy', 'Very good product. Worth every penny.']","['Mr Hilal', 'Aditya Myntra', 'Kamesh']","['7 Jan 2024', '4 Jan 2024', '15 Oct 2023']"
599,Bareblow,Round Neck Cotton Half Sleeve T-Shirt,Rs. 599,,,,,,
600,Roadster,The Life Co. Pure Cotton Graphic Printed Drop-Shoulder Sleeves Casual T-shirt,₹349,₹799,(Rs. 450 OFF),[],[],[],[]
601,HRX by Hrithik Roshan,Men Solid T-shirt,₹509,₹599,(15% OFF),[],[],[],[]
602,Roadster,Men Black Solid Round Neck Pure Cotton T-shirt,₹295,₹799,(63% OFF),"[4, 5, 4]","[""I really liked this product. Quality is pretty good,not expect a premium clothing but it's decent. Fitting is a bit loose. But it works. If you are getting it below 299, go for it. It don't worth above that."", ""Product quality js nice...color is also dark black...but I am returning this because I should have ordered 36 chest ..because 38 chest is loose for him,....but the product is good...I don't have any issue with the product's quality"", ""Good product from roadster but it's very thin , it's good for summer or lite weathers but for winters it's useless but quality is quite well no too good or not too bad""]","['Pavan', 'Shruti Kashyap', 'Lavisha']","['27 Dec 2020', '1 Dec 2020', '25 Dec 2020']"
603,Lux Cozi,Pack Of 2 Polo Collar Cotton Casual T-shirts,₹722,₹760,(5% OFF),[],[],[],[]
604,Jockey,Men Super Combed Cotton Rib Solid Round Neck Muscle Vest-9930,Rs. 399,,,,,,
605,Roadster,The Lifestyle Co. Short Sleeves Polo Collar T-shirt,₹395,₹1099,(64% OFF),[],[],[],[]
606,Lux Cozi,Pack of 2 Polo Collar T-shirt,₹722,₹760,(5% OFF),[],[],[],[]
607,HRX by Hrithik Roshan,Rapid-Dry Printed Training T-shirt,₹509,₹599,(15% OFF),[1],['Tshirt is too much strechable and fabric is not good'],['Myntra Customer'],['9 Jan 2024']
608,Roadster,Men Teal Blue Black Printed Round Neck Pure Cotton T-shirt,₹399,₹999,(60% OFF),"[4, 5, 3]","['Nice Product But If Your Going to buy just know the size 40 size was M (but In India Its L(40) &Size) similarly 42 size was L on Myntra for this product actual size In India It is XL (42)Size so kindly choose the product according to sizes', 'Superb brand with adjustable fitting......', ""Mostly roadster t-shirts will be quickly fade overall, especially in collar section. Let's see this one. The reason for buying because of this specific color.""]","['Sandesh Gaikwad', 'Wasim A K', 'Prem']","['20 Oct 2022', '11 Sept 2020', '9 Dec 2023']"
609,DAMENSCH,DaMENSCH NEO-Cool Pure Cotton Pocket Print Tank Top,₹695,₹799,(13% OFF),"[5, 5, 5]","['Really one of the best product I have ever bought from Myntra. Thank you so much for such an amazing product', 'Very nice quality loved it .......Amazing sticking quality.....would recommend it to others to buy it.', 'Nice fit and good material quality, very much comfortable . Totally satisfied with the product.']","['Priya Buddhbhatti', 'Rohit Tandon', 'Neha Aanimi']","['11 June 2023', '9 June 2023', '15 Jan 2024']"
610,Lux Cozi,Pack of 2 Polo Collar T-shirt,₹758,₹798,(5% OFF),[],[],[],[]
611,Bewakoof,Relax T-shirt,₹499,₹1099,(Rs. 600 OFF),"[5, 5, 3]","['Quality of the Tshirt is good and fitting is also very nice', 'Super nice 👍', ""Probably my fault, but it looked as if the word Relax is made of threads but it's just a print. Price at a higher side as compared to the overall quality.""]","['Prince Parmar', 'Yawar Hussain Ansari', 'Rohit Kumar']","['24 May 2023', '5 Feb 2022', '12 Sept 2023']"
612,French Connection,Men Graphic Printed Pure Cotton T-shirt,₹395,₹1199,(67% OFF),[],[],[],[]
613,HERE&NOW,Polo Collar Long Sleeves Striped Casual T-shirt,₹577,₹1699,(66% OFF),[],[],[],[]
614,Roadster,The Lifestyle Co. Men Blue Solid Pure Cotton Polo Collar T-shirt,₹395,₹1099,(64% OFF),"[4, 5, 5]","['Very nice', 'Awesome fit and fabric is also good... thanku @MYNTRA.', 'Smooth fabric Reach look']","['Neelam Gangwar', 'Ravi Shankar', 'Umang Patel']","['23 Nov 2023', '1 Feb 2023', '21 Oct 2022']"
615,Friskers,Printed Slim Fit Pure Cotton T-shirt,₹571,₹969,(41% OFF),[],[],[],[]
616,Roadster,The Lifestyle Co Men Mustard Pure Cotton Printed Round Neck Pure Cotton T-shirt,₹239,₹599,(60% OFF),"[5, 5, 4]","['nice quality. i suggest anyone to buy this. fully satisfied', ""The fabric quality as I expected You should to try it. As a new user of myntra myntra recommended best t shirt as i find & the thing's they earlier Delivered this products for satisfaction even they best in"", 'Perfect fit, I am 5\'7"" 72kg, and avg build where size M is a perfect fit on me. Someone who likes a loose fit then should go one size up.']","['Aniket', 'Parvesh', 'Saroj Lenka']","['4 Oct 2023', '13 Aug 2022', '7 May 2021']"
617,Blackberrys,Solid Polo Collar T-shirt,₹746,₹995,(25% OFF),"[3, 5]","['Just okay but this is not value for money 💰', 'Excellent quality and fit.']","['Satyam Yadav', 'Shipra Mishra']","['2 Nov 2023', '9 Aug 2023']"
618,Kook N Keech,Pure Cotton Typography Printed Drop-Shoulder Sleeves Oversized T-shirt,₹350,₹899,(61% OFF),"[3, 5]","[""Nice one. But rough use wear. It will loose it's color or cloth quality after 3 or 4 times of usage."", '']","['Roshan Akthar', 'Myntra Customer']","['9 Jan 2024', '16 Jan 2024']"
619,Sztori,Plus Size Printed Polo Collar Pure Cotton T-shirt,₹721,₹1899,(62% OFF),[],[],[],[]
620,ecott,Round Neck Bio Finish Cotton T-shirt,₹417,₹549,(24% OFF),[],[],[],[]
621,Red Tape,Men Solid Pure Cotton Round Neck Half Sleeve T-Shirt,₹356,₹1699,(79% OFF),"[5, 5, 4]","['Good product Very comfortable Excellent fitting Nice quality product', 'Gifted this to Dad! Perfect fit! ❤️', 'Cloth quality is good']","['Basit Iqbal', 'Arthita', 'Vansh Raturi']","['28 May 2023', '19 June 2023', '23 Mar 2023']"
622,Friskers,Printed Slim Fit Pure Cotton T-shirt,₹571,₹969,(41% OFF),[],[],[],[]
623,ether,Men Black Solid Hi-IQ Polo T-shirt,₹599,₹1499,(60% OFF),"[4, 5, 4]","['The quality of the product is very good... However its a bit loose...usually i buy S size and its fit to me... But in this case... Its a bit loose.. But i love the quality... Its amazing', 'Good product. But little bit loose', 'Must but in this price range']","['Cornelius', 'Lalithraj', 'Jay Singh']","['2 Mar 2020', '25 Jan 2020', '1 Oct 2020']"
624,United Colors of Benetton,Men V-Neck Cotton T-shirt,₹499,₹999,(50% OFF),[5],['Super'],['Manikandan'],['27 Oct 2023']
625,ecott,Round Neck Short Sleeves Cotton T-shirt,₹417,₹549,(24% OFF),[],[],[],[]
626,Red Tape,Men Pure Cotton T-shirt,₹356,₹1699,(79% OFF),"[5, 5, 4]","['Sober n good quality', 'Best experience with Myntra', 'Purchased for my Father... Good Fitting He loved it 😊']","['Sayam Bohra', 'Arif', 'Ankit Mishra']","['26 Mar 2023', '30 May 2023', '18 Sept 2023']"
627,Van Heusen,Athleisure Men Solid Pure Cotton Antibacterial Smart Tech T-Shirt,₹759,₹799,(5% OFF),"[4, 2, 1]","['Comfortable', 'Either too tight or too loose. Sizes are not properly designed..', 'Color fade after 1 moth']","['Priya Yadav', 'Abhijeet', 'Myntra Customer']","['11 Dec 2023', '7 Jan 2024', '18 Oct 2023']"
628,Friskers,Typography Printed Slim Fit Cotton T-shirt,₹571,₹969,(41% OFF),[],[],[],[]
629,Roadster,Men Striped Polo Collar T-shirt,₹649,₹1499,(Rs. 850 OFF),"[4, 5, 4]","['Nice', ""Value for money, very comfortable and fabric quality is decent. But I don't know how long the colour will last."", 'Value for money']","['Rahul Singh', 'Suryoday', 'Ramprasadnayak H P']","['31 Dec 2023', '16 Sept 2023', '21 Nov 2023']"
630,Kook N Keech,Printed Drop-Shoulder Sleeves Loose T-shirt,₹399,₹999,(60% OFF),"[4, 4, 4]","['Good product go for it', 'Great ?', 'Nice']","['Len Mangte', 'Zeeshan Sabir', 'Manoj Dhana Mehra']","['29 Dec 2023', '18 Aug 2023', '29 Sept 2023']"
631,Roadster,Men Pack of 3 Cotton Round Neck Printed T-Shirt,₹721,₹1899,(62% OFF),"[5, 4, 4]","['Really nice product comfort is a key..... This product not only gives u comfort but confidence also.... I recommend it but only if you order your perfect size', ""Quality was good, Let's see how it will be after washing it couple of times."", ""Cloth is good ,design is good , but fitting is not. You can't wear these t-shirts outdoors.""]","['Mamoon Shah', 'Narendra Siripurapu', 'Yash Choudhary']","['25 June 2021', '23 June 2023', '28 Sept 2021']"
632,WROGN,Men Mustard Yellow Striped Cotton Pure Cotton T-shirt,₹587,₹1199,(51% OFF),"[5, 4, 5]","['Very comfortable and the product is very good in compare to price ✌?', 'Super awesome, Amazing??', 'it was an awsome yellow tshirt the colour was decent as well as he loved it very comfort']","['Neelav', 'Asar', 'Rashmi Bothra']","['25 Aug 2020', '27 Feb 2022', '24 July 2022']"
633,Bewakoof,Official Disney Merchandise Unisex Can't Beat Me Mickey Cartoon Print T-shirt,₹699,₹1499,(Rs. 800 OFF),[],[],[],[]
634,HRX by Hrithik Roshan,Typography Printed Rapid-Dry Training or Gym T-shirt,₹509,₹599,(15% OFF),"[5, 4, 5]","['the material is really good and comfortable', ""Worth the price. It's actually good ?"", 'The quality of the product is great and worth the price. You can buy this without any doubt.']","['Nancy', 'Victory Vinnu 123', 'Yashraj']","['9 Nov 2023', '5 Aug 2023', '7 Dec 2023']"
635,HRX by Hrithik Roshan,Men Brand Logo Printed T-shirt,₹479,₹599,(20% OFF),[],[],[],[]
636,U.S. Polo Assn.,Men Melange Blue Solid Athleisure Lounge T-shirt,₹719,₹899,(20% OFF),"[5, 5, 5]","['Absolute and perfect fit, quality is really good', 'Nice quality sports wear light fabric', 'Fine fabric and style fittings']","['Mohit Gupta', 'Archana', 'Anilbabu']","['24 Nov 2023', '22 Dec 2023', '15 Dec 2023']"
